"lat","lon","elev","PLreal","dist","horAngle","vertAngle","attVer","attHor","PLecc33","PLhata","BTS_ID"
-8.077576,-34.899261,6,138.3,1.25366378686089,-4.91025584341685,1.73030857886882,17.6,0.04,152.303196022952,136.017018544451,"BTS_01"
-8.07757,-34.899296,6,137.575,1.25533985682574,-4.74866587938772,1.73262048398732,17.6,0.04,152.32096064383,136.036941707289,"BTS_01"
-8.077567,-34.899223,6,137.266666666667,1.25043955730875,-5.04089140547308,1.72586118734278,17.6,0.06,152.26896319485,135.978617652285,"BTS_01"
-8.07755,-34.899174,6,133.633333333333,1.24579850793857,-5.19457980250212,1.71945944670183,17.6,0.06,152.219549800486,135.923168098495,"BTS_01"
-8.077547,-34.899319,6,142.1,1.25471715130147,-4.58665335503139,1.73176154908877,17.6,0.04,152.31436306143,136.029542818312,"BTS_01"
-8.077546,-34.899288,6,136.925,1.25264946207838,-4.711067610903,1.72890945634126,17.6,0.04,152.29243498969,136.004948494185,"BTS_01"
-8.077545,-34.899265,6,136.3,1.25109571341371,-4.80288206687499,1.72676626822972,17.6,0.04,152.275936183297,135.986440554859,"BTS_01"
-8.077541,-34.899246,6,138.325,1.24952563941263,-4.86957992659757,1.72460055659382,17.6,0.04,152.259245556372,135.967714787986,"BTS_01"
-8.077541,-34.899231,6,137.433333333333,1.24857500602145,-4.93162550048032,1.72328927982743,17.6,0.04,152.249130834601,135.956365450181,"BTS_01"
-8.07754,-34.899231,6,134.7,1.24848389565813,-4.92869017659825,1.72316360467876,17.6,0.04,152.248161063458,135.955277256098,"BTS_01"
-8.07754,-34.899223,6,137.55,1.24797745464954,-4.96182100455633,1.72246503347051,17.6,0.04,152.242769403295,135.949227032953,"BTS_01"
-8.077538,-34.899307,6,136.8,1.25313430732557,-4.60939162484522,1.72957823440972,17.6,0.04,152.297579705976,136.010719173288,"BTS_01"
-8.077538,-34.899231,6,130.606976744186,1.24830168030888,-4.92281824346674,1.7229122617491,17.6,0.04,152.246221390147,135.953100693909,"BTS_01"
-8.077533,-34.899204,6,137.233333333333,1.24613778026767,-5.0200843790094,1.71992743142805,17.6,0.06,152.223167568421,135.92722859253,"BTS_01"
-8.07753,-34.899109,6,137.325,1.23988973419661,-5.40767774693313,1.71130897850115,17.6,0.06,152.156402179694,135.852272562748,"BTS_01"
-8.07752,-34.899162,6,137.4,1.24230172371243,-5.15674678469333,1.71463604673281,17.6,0.06,152.182211498738,135.881253180862,"BTS_01"
-8.077514,-34.899326,6,134.9,1.25217335999374,-4.46047564644005,1.72825273781769,17.6,0.04,152.287381328969,135.99927970319,"BTS_01"
-8.07751,-34.89904,6,138.066666666667,1.23374939345153,-5.63971127837954,1.70283901707013,17.6,0.06,152.090496450295,135.77823972603,"BTS_01"
-8.077504,-34.899284,6,135.333333333333,1.24858065633801,-4.60363155707728,1.72329707371935,17.6,0.04,152.249190974035,135.956432933204,"BTS_01"
-8.077503,-34.899101,6,137.533333333333,1.23691525418537,-5.36225448475022,1.70720600200701,17.6,0.06,152.124512605651,135.816455759744,"BTS_01"
-8.077502,-34.899303,6,137.766666666667,1.2496135112589,-4.5194500329701,1.72472176443776,17.6,0.04,152.260180166656,135.968763428619,"BTS_01"
-8.077501,-34.899261,6,130.233333333333,1.24684146659072,-4.68969888748632,1.72089808000348,17.6,0.04,152.230668414433,135.935646958986,"BTS_01"
-8.0775,-34.899338,6,141.933333333333,1.25167557450001,-4.36974362937917,1.7275661094741,17.6,0.04,152.282095683935,135.993350429634,"BTS_01"
-8.077494,-34.899319,6,133.1,1.24991342756324,-4.42992894021882,1.72513546006307,17.6,0.04,152.263369655831,135.972341999508,"BTS_01"
-8.077494,-34.899231,6,138.833333333333,1.24429639867095,-4.79320086000808,1.71738746773607,17.6,0.04,152.203521831996,135.905177191986,"BTS_01"
-8.077491,-34.898972,6,135.8,1.22778347275787,-5.87271900180986,1.69460957865021,17.6,0.06,152.026183699338,135.705956079113,"BTS_01"
-8.077481,-34.899342,6,138.633333333333,1.25021430513127,-4.29685257423705,1.72555048144611,17.6,0.04,152.266568685856,135.975931177392,"BTS_01"
-8.07748,-34.899185,6,142.933333333333,1.24010421283771,-4.94307948153596,1.71160482812952,17.6,0.04,152.158698995171,135.854851856452,"BTS_01"
-8.077478,-34.899029,6,138.333333333333,1.23012489621303,-5.59267973923784,1.69783936512993,17.6,0.06,152.051457251883,135.734366768761,"BTS_01"
-8.077475,-34.899338,6,138.3,1.2494146332309,-4.29539433772709,1.72444743790494,17.6,0.04,152.258064804576,135.966389962552,"BTS_01"
-8.077474,-34.898914,6,133.225,1.2226377403682,-6.07094273708196,1.68751145830494,17.6,0.09,151.970489692464,135.643327225864,"BTS_01"
-8.077463,-34.899136,6,135.2,1.23545748523354,-5.09768633178589,1.70519515952327,17.6,0.06,152.108858946805,135.798870768008,"BTS_01"
-8.077456,-34.898857,6,132.9,1.21747538625162,-6.26361688392223,1.6803903575709,17.6,0.09,151.914406605658,135.580230641911,"BTS_01"
-8.077447,-34.898941,6,135.366666666667,1.22181196507487,-5.87648137876477,1.6863723634547,17.6,0.06,151.961532705704,135.633252153741,"BTS_01"
-8.077443,-34.899078,6,137.433333333333,1.22998020002851,-5.28256014041949,1.69763976985926,17.6,0.06,152.049896623992,135.732612602363,"BTS_01"
-8.077442,-34.899353,6,136.766666666667,1.2474013201193,-4.13525389431311,1.72167032825606,17.6,0.04,152.236633414231,135.942341226608,"BTS_01"
-8.077439,-34.899357,6,136.6,1.24738909995414,-4.10985603305414,1.72165347206606,17.6,0.04,152.236503238944,135.94219514001,"BTS_01"
-8.077438,-34.8988,6,127.866666666667,1.21232692659522,-6.45792977123813,1.67328837153696,17.6,0.09,151.858264140772,135.51703685358,"BTS_01"
-8.077435,-34.899364,6,141.1,1.24748097455881,-4.06915936108453,1.72178020158921,17.6,0.04,152.237481905299,135.943293424671,"BTS_01"
-8.077424,-34.899025,6,135.6,1.22491999485609,-5.45080230728081,1.69065964961293,17.6,0.06,151.995216898335,135.671137074104,"BTS_01"
-8.077416,-34.898849,6,133.3,1.21328399786603,-6.1814573475333,1.67460859687097,17.6,0.09,151.868716696467,135.528804524931,"BTS_01"
-8.077415,-34.898731,6,140.675,1.20600078055115,-6.69185134417927,1.66456176856803,17.6,0.09,151.788989270772,135.439019283259,"BTS_01"
-8.077408,-34.898979,6,137.533333333333,1.2205817996563,-5.59940196956512,1.68467544039779,17.6,0.06,151.948179439914,135.618230586821,"BTS_01"
-8.077395,-34.899364,6,148,1.24387819278162,-3.94879801751932,1.71681060224021,17.6,0.02,152.199056393323,135.900164434826,"BTS_01"
-8.077393,-34.898937,6,136.866666666667,1.21659206595863,-5.73484961274357,1.6791718747749,17.6,0.06,151.904789226396,135.569407509139,"BTS_01"
-8.077387,-34.89938,6,141.15,1.24419754784192,-3.85900696249701,1.71725111475583,17.6,0.02,152.202466461672,135.9039924846,"BTS_01"
-8.077387,-34.898655,6,130.2,1.19880756702729,-6.94461856820425,1.6546389954176,17.6,0.09,151.709827149558,135.349809775097,"BTS_01"
-8.077386,-34.898758,6,131.666666666667,1.20494454946652,-6.48929475171212,1.66310474292671,17.6,0.09,151.777391582966,135.425953393844,"BTS_01"
-8.077379,-34.898903,6,137.533333333333,1.21319621608007,-5.83966789095928,1.67448750696855,17.6,0.06,151.867758301156,135.527725590564,"BTS_01"
-8.077371,-34.89938,6,143,1.24275962754197,-3.81057556356473,1.71526767225402,17.6,0.02,152.187106246954,135.886748646971,"BTS_01"
-8.07737,-34.898869,6,139.15,1.21026562508885,-5.95983051619737,1.67044491742006,17.6,0.06,151.835726986319,135.4916605351,"BTS_01"
-8.077362,-34.898842,6,131,1.20786343506029,-6.05315377069894,1.66713121561097,17.6,0.09,151.809419776978,135.462033008624,"BTS_01"
-8.077359,-34.898823,6,136.133333333333,1.20641796895995,-6.12679883671319,1.66513726155551,17.6,0.09,151.793567626514,135.444176874397,"BTS_01"
-8.077358,-34.898819,6,139.4,1.20607985882787,-6.14124003502269,1.66467085358459,17.6,0.09,151.78985720825,135.439997044331,"BTS_01"
-8.077357,-34.898674,6,137.733333333333,1.19715611505402,-6.77343377994077,1.65236086420363,17.6,0.09,151.691593336281,135.32925308661,"BTS_01"
-8.077357,-34.898571,6,137.1,1.19097333842948,-7.23028576921376,1.64383185264993,17.6,0.12,151.62313028247,135.252039445956,"BTS_01"
-8.077356,-34.898815,6,140.425,1.20564936326677,-6.15274291535945,1.66407700368164,17.6,0.09,151.785131618608,135.434673418727,"BTS_01"
-8.077354,-34.898808,6,134.466666666667,1.20503484387076,-6.17731263166087,1.6632293002826,17.6,0.09,151.778383390762,135.42707080982,"BTS_01"
-8.077353,-34.8988,6,134.733333333333,1.20445174663058,-6.20921011198118,1.66242494173911,17.6,0.09,151.771977398869,135.419853358737,"BTS_01"
-8.077349,-34.898785,6,139.2,1.2031627200749,-6.26284562231569,1.66064678055521,17.6,0.09,151.75780620456,135.40388566,"BTS_01"
-8.077342,-34.89938,6,146.65,1.2401556633998,-3.72250753181606,1.71167579849134,17.6,0.02,152.159249918158,135.855470528229,"BTS_01"
-8.077341,-34.898758,6,132.525,1.20077099886126,-6.3573254101176,1.65734748720142,17.6,0.09,151.731476615877,135.374213061642,"BTS_01"
-8.077338,-34.899395,6,139.5,1.24077596506635,-3.64879718015465,1.71253143564371,17.6,0.02,152.165890397852,135.862927380334,"BTS_01"
-8.07733,-34.898716,6,135.133333333333,1.19719116327181,-6.5092906573405,1.65240921228151,17.6,0.09,151.691980537895,135.329689648847,"BTS_01"
-8.077327,-34.898586,6,137.866666666667,1.18906440278757,-7.07619868200425,1.64119850095836,17.6,0.12,151.601928645775,135.228118689775,"BTS_01"
-8.077325,-34.898479,6,129.05,1.18250795043469,-7.54997492151563,1.63215390814368,17.6,0.12,151.528878854835,135.145666725692,"BTS_01"
-8.077314,-34.898666,6,138.333333333333,1.19267028626344,-6.68285852532415,1.6461727641076,17.6,0.09,151.641952205633,135.273271626988,"BTS_01"
-8.077297,-34.899391,6,138.066666666667,1.23684095919884,-3.53992047278405,1.70710351980858,17.6,0.02,152.123715214811,135.815560044472,"BTS_01"
-8.077295,-34.899403,6,141.066666666667,1.237448465279,-3.48454273371249,1.70794151087288,17.6,0.02,152.130234190876,135.822882681496,"BTS_01"
-8.077295,-34.898602,6,133,1.18703770832836,-6.91129414864156,1.63840269493185,17.6,0.09,151.579386085415,135.202680239301,"BTS_01"
-8.077293,-34.898491,6,128.1,1.18021548901894,-7.40299913018748,1.62899145000957,17.6,0.12,151.503252330448,135.116729516109,"BTS_01"
-8.07729,-34.89838,6,132.35,1.17338689973155,-7.89749614178828,1.61957132965952,17.6,0.12,151.426656033111,135.030199560037,"BTS_01"
-8.077288,-34.899406,6,139.566666666667,1.23701915962833,-3.45075727019565,1.70734932872877,17.6,0.02,152.125627727428,135.817708374389,"BTS_01"
-8.077271,-34.898529,6,136.45,1.18041853402811,-7.16769029728363,1.62927155167485,17.6,0.12,151.505523869955,135.119294773965,"BTS_01"
-8.077266,-34.899399,6,140.3,1.23459257320296,-3.41183466863015,1.70400210026013,17.6,0.02,152.099563699177,135.788427568634,"BTS_01"
-8.077255,-34.898392,6,132.933333333333,1.17079367935557,-7.74133631231302,1.61599392825467,17.6,0.12,151.39746438533,134.997207008231,"BTS_01"
-8.077255,-34.898281,6,132.566666666667,1.16430968955326,-8.25044936552524,1.60704907447117,17.6,0.16,151.324223278738,134.91439282988,"BTS_01"
-8.077242,-34.898445,6,135.4,1.17270171444285,-7.46224852420346,1.61862610353984,17.6,0.12,151.418948523857,135.021489302445,"BTS_01"
-8.077239,-34.899406,6,138.166666666667,1.23264147442718,-3.29976332140473,1.70131075006624,17.6,0.02,152.078573935908,135.764842542288,"BTS_01"
-8.077236,-34.899422,6,134.7,1.23342868805423,-3.22481373706341,1.70239663528062,17.6,0.02,152.087046258694,135.774362928307,"BTS_01"
-8.077222,-34.898285,6,130.7,1.161420144709,-8.13658992776612,1.60306283748635,17.6,0.16,151.291467447693,134.877338602113,"BTS_01"
